0,481,186
1,745,592
2,311,205
3,908,740
4,419,775
5,733,776
6,271,545
7,251,651
8,832,752
9,510,362
10,425,539
11,745,630
12,986,223
13,316,556
14,720,338
15,531,76
16,748,792
17,887,211
18,705,770
19,745,479
20,946,726
21,851,892
22,668,151
23,544,217
24,888,421
25,59,789
26,357,643
27,426,477
28,127,742
29,761,142
30,781,334
31,399,338
32,353,812
33,205,333
34,437,424
35,324,581
36,219,926
37,888,416
38,234,209
39,41,767
40,230,780
41,19,994
42,886,265
43,864,517
44,326,790
45,983,583
46,823,722
47,431,628
48,114,339
49,871,668
